suite,keep_frac,pc_success,n_episodes,eval_s,eval_ep_s,status,timestamp
libero_spatial,0.05,35.0,40,1497.6709814071655,37.44177455306053,done,2026-06-12 06:05:54
libero_spatial,0.10,50.0,40,1395.0148599147797,34.87537150382995,done,2026-06-12 06:29:39
libero_spatial,0.25,95.0,40,943.0806555747986,23.57701641917229,done,2026-06-12 06:45:50
libero_spatial,0.50,100.0,40,1007.9944999217987,25.199862515926363,done,2026-06-12 07:03:05
libero_spatial,0.75,100.0,40,1139.2602787017822,28.48150698542595,done,2026-06-12 07:22:32
libero_spatial,1.00,100.0,40,1232.345380306244,30.808634525537492,done,2026-06-12 07:43:33
libero_object,0.05,37.5,40,1528.1999790668488,38.204999500513075,done,2026-06-12 08:09:28
libero_object,0.10,85.0,40,1227.4805164337158,30.68701291680336,done,2026-06-12 08:30:21
libero_object,0.25,100.0,40,1071.6623930931091,26.791559839248656,done,2026-06-12 08:48:40
libero_object,0.50,95.0,40,1287.735449552536,32.193386256694794,done,2026-06-12 09:10:34
libero_object,0.75,100.0,40,1399.4246323108673,34.98561582565308,done,2026-06-12 09:34:20
libero_object,1.00,100.0,40,1568.7100400924683,39.2177510201931,done,2026-06-12 10:00:55
libero_goal,0.05,20.0,40,1653.2779846191406,41.33194962143898,done,2026-06-12 10:28:55
libero_goal,0.10,75.0,40,1186.0208003520966,29.65052001476288,done,2026-06-12 10:49:07
libero_goal,0.25,95.0,40,958.6320998668671,23.965802508592606,done,2026-06-12 11:05:32
libero_goal,0.50,95.0,40,1127.087898492813,28.17719746828079,done,2026-06-12 11:24:45
libero_goal,0.75,97.5,40,1225.1705853939056,30.62926464676857,done,2026-06-12 11:45:37
libero_goal,1.00,100.0,40,1298.076499223709,32.45191248655319,done,2026-06-12 12:07:41
libero_10,0.05,7.5,40,3094.8021955490112,77.37005490064621,done,2026-06-12 12:59:45
libero_10,0.10,47.5,40,2808.444999694824,70.211125010252,done,2026-06-12 13:47:03
libero_10,0.25,95.0,40,2057.524982690811,51.43812457919121,done,2026-06-12 14:21:49
libero_10,0.50,87.5,40,2470.4802069664,61.762005186080934,done,2026-06-12 15:03:28
libero_10,0.75,90.0,40,2720.3108615875244,68.00777156352997,done,2026-06-12 15:49:17
libero_10,1.00,92.5,40,3055.839306116104,76.395982670784,done,2026-06-12 16:40:42
libero_90,0.05,5.833333333333333,360,22403.162256240845,62.231006267997955,done,2026-06-12 22:56:50
libero_90,0.10,12.222222222222221,360,22536.696085691452,62.601933572689695,done,2026-06-13 05:14:59
libero_90,0.25,21.944444444444443,360,22791.934926748276,63.31093035472764,done,2026-06-13 11:37:21
libero_90,0.50,28.055555555555557,360,26497.992387533188,73.60553441113896,done,2026-06-13 19:01:29
libero_90,0.75,30.277777777777775,360,29627.7870554924,82.29940848880344,done,2026-06-14 03:17:47
libero_90,1.00,30.833333333333336,360,32730.36189341545,90.91767192747858,done,2026-06-14 12:25:49
