suite,keep_frac,pc_success
libero_spatial,0.25,0.0
libero_spatial,0.50,70.0
libero_spatial,0.75,100.0
libero_spatial,1.00,100.0
libero_object,0.25,0.0
libero_object,0.50,100.0
libero_object,0.75,100.0
libero_object,1.00,100.0
libero_goal,0.25,0.0
libero_goal,0.50,80.0
libero_goal,0.75,90.0
libero_goal,1.00,100.0
libero_10,0.25,0.0
libero_10,0.50,70.0
libero_10,0.75,90.0
libero_10,1.00,80.0
libero_90,0.25,0.0
libero_90,0.50,20.0
libero_90,0.75,26.666666666666668
libero_90,1.00,33.33333333333333
