suite,arm,keep_frac,pc_success,n_episodes,eval_s,eval_ep_s,status,timestamp
libero_object,full,1.00,100.0,10,383.61726427078247,38.36172649860382,done,2026-06-25 08:46:14
libero_object,rpost,0.75,100.0,10,345.7112100124359,34.57112104892731,done,2026-06-25 08:52:26
libero_object,rpre,0.75,100.0,10,363.6814115047455,36.36814124584198,done,2026-06-25 08:58:56
libero_object,actattn,0.75,100.0,10,720.0817110538483,72.0081711769104,done,2026-06-25 09:11:23
libero_object,rpost,0.50,100.0,10,305.43270897865295,30.543270969390868,done,2026-06-25 09:16:55
libero_object,rpre,0.50,100.0,10,315.72192430496216,31.572192478179932,done,2026-06-25 09:22:37
libero_object,actattn,0.50,100.0,10,766.9650211334229,76.69650218486785,done,2026-06-25 09:35:50
libero_object,rpost,0.25,100.0,10,278.9694547653198,27.8969455242157,done,2026-06-25 09:40:55
libero_object,rpre,0.25,0.0,10,394.50485610961914,39.450485706329346,done,2026-06-25 09:47:56
libero_object,actattn,0.25,0.0,10,1132.5670924186707,113.25670931339263,done,2026-06-25 10:07:15
libero_goal,full,1.00,100.0,10,334.08233404159546,33.40823345184326,done,2026-06-25 10:13:15
libero_goal,rpost,0.75,100.0,10,311.34502601623535,31.13450276851654,done,2026-06-25 10:18:52
libero_goal,rpre,0.75,90.0,10,349.51532554626465,34.951532697677614,done,2026-06-25 10:25:08
libero_goal,actattn,0.75,90.0,10,705.7334351539612,70.57334363460541,done,2026-06-25 10:37:20
libero_goal,rpost,0.50,90.0,10,285.88778805732727,28.5887788772583,done,2026-06-25 10:42:32
libero_goal,rpre,0.50,80.0,10,296.0907096862793,29.609071040153502,done,2026-06-25 10:47:54
libero_goal,actattn,0.50,60.0,10,849.4791493415833,84.94791498184205,done,2026-06-25 11:02:29
libero_goal,rpost,0.25,100.0,10,228.39253759384155,22.839253854751586,done,2026-06-25 11:06:44
libero_goal,rpre,0.25,0.0,10,408.8982148170471,40.88982157707214,done,2026-06-25 11:13:59
libero_goal,actattn,0.25,0.0,10,1200.6430773735046,120.06430778503417,done,2026-06-25 11:34:25
libero_spatial,full,1.00,100.0,10,309.20726895332336,30.920727038383482,done,2026-06-25 11:40:02
libero_spatial,rpost,0.75,100.0,10,291.45533418655396,29.1455335855484,done,2026-06-25 11:45:21
libero_spatial,rpre,0.75,100.0,10,271.00028681755066,27.100028729438783,done,2026-06-25 11:50:20
libero_spatial,actattn,0.75,90.0,10,625.6158332824707,62.56158347129822,done,2026-06-25 12:01:13
libero_spatial,rpost,0.50,100.0,10,248.2601363658905,24.8260137796402,done,2026-06-25 12:05:49
libero_spatial,rpre,0.50,70.0,10,320.9183886051178,32.09183895587921,done,2026-06-25 12:11:37
libero_spatial,actattn,0.50,80.0,10,676.2948334217072,67.62948338985443,done,2026-06-25 12:23:21
libero_spatial,rpost,0.25,100.0,10,221.0309133529663,22.103091406822205,done,2026-06-25 12:27:30
libero_spatial,rpre,0.25,0.0,10,407.02339243888855,40.702339339256284,done,2026-06-25 12:34:44
libero_spatial,actattn,0.25,0.0,10,1150.7965581417084,115.07965590953827,done,2026-06-25 12:54:23
