variant,arm,spatial,object,goal,long,mean,complete,delta_vs_winner
cnn,cnn_fp32,95,85,80,85,86.2,True,-8.8
cnn,cnn_w8a8,95,85,85,95,90.0,True,-5.0
cnn,cnn_w4a6ptq,75,35,75,40,56.2,True,-38.8
cnn,cnn_w4a6qat,90,95,95,100,95.0,True,
cnn,cnn_qatfix_ctrl,95,95,90,95,93.8,True,-1.2
cnn,cnn_qatfix_ds,95,100,80,100,93.8,True,-1.2
cnn,cnn_qatfix_dsmild,100,100,85,90,93.8,True,-1.2
cnn,cnn_qatfix_mild,95,95,90,100,95.0,True,+0.0
tinyvit,tinyvit_fp32,90,95,90,95,92.5,True,-1.2
tinyvit,tinyvit_w8a8,95,100,100,95,97.5,True,+3.8
tinyvit,tinyvit_w4a6ptq,90,30,70,15,51.2,True,-42.5
tinyvit,tinyvit_w4a6qat,100,100,95,80,93.8,True,
tinyvit,tinyvit_qatfix_ctrl,80,100,95,85,90.0,True,-3.8
tinyvit,tinyvit_qatfix_ds,100,100,100,95,98.8,True,+5.0
tinyvit,tinyvit_qatfix_dsmild,100,95,100,85,95.0,True,+1.2
tinyvit,tinyvit_qatfix_mild,95,100,95,80,92.5,True,-1.2
